Codice richiesta,80749
Codice Stazione,S4063
Denominazione,COLLE DELL'AGNELLO
Localita',RICOVERINI
UTM X,339885 m
UTM Y,4949696 m
Quota,2685 m s.l.m.
Periodo, 2018-01-01 / 2021-12-05
Altezza neve giornaliera
data,neve al suolo (cm),neve fresca (cm)
10/04/2020 ,   116 ,     0
11/04/2020 ,   114 ,     0
12/04/2020 ,   111 ,     0
13/04/2020 ,   110 ,     0
14/04/2020 ,   108 ,     0
15/04/2020 ,   106 ,     0
16/04/2020 ,    97 ,     0
17/04/2020 ,    96 ,     0
18/04/2020 ,    93 ,     0
19/04/2020 ,    89 ,     0
20/04/2020 ,    95 ,     9
21/04/2020 ,   107 ,    12
22/04/2020 ,   112 ,     8
23/04/2020 ,   107 ,     0
24/04/2020 ,   102 ,     0
25/04/2020 ,   101 ,     0
26/04/2020 ,   100 ,     0
27/04/2020 ,   101 ,     1
28/04/2020 ,    94 ,     0
29/04/2020 ,    99 ,     7
30/04/2020 ,    93 ,     0
01/05/2020 ,    96 ,    11
02/05/2020 ,   122 ,    26
03/05/2020 ,   111 ,     0
04/05/2020 ,   101 ,     0
05/05/2020 ,    94 ,     0
06/05/2020 ,    88 ,     0
07/05/2020 ,    84 ,     0
08/05/2020 ,    74 ,     0
09/05/2020 ,    71 ,     0
10/05/2020 ,    63 ,     0
11/05/2020 ,    96 ,    33
12/05/2020 ,    86 ,     0
13/05/2020 ,    77 ,     0
14/05/2020 ,    80 ,     7
15/05/2020 ,    91 ,    12
16/05/2020 ,    79 ,     0
17/05/2020 ,    90 ,    11
18/05/2020 ,    83 ,     4
19/05/2020 ,    78 ,     2
20/05/2020 ,    74 ,     1
21/05/2020 ,    67 ,     0
22/05/2020 ,    60 ,     0
23/05/2020 ,    49 ,     0
24/05/2020 ,    38 ,     0
25/05/2020 ,    33 ,     0
26/05/2020 ,    22 ,     0
27/05/2020 ,    17 ,     0
28/05/2020 ,    13 ,     0
29/05/2020 ,     5 ,     0
30/05/2020 ,     8 ,     4
31/05/2020 ,     6 ,     2
01/06/2020 ,     5 ,     0
02/06/2020 ,     5 ,     1
03/06/2020 ,     4 ,     0
04/06/2020 ,     5 ,     1
05/06/2020 ,     6 ,     2
06/06/2020 ,     4 ,     0
07/06/2020 ,     4 ,     0
08/06/2020 ,     7 ,     5
09/06/2020 ,     7 ,     2
10/06/2020 ,    11 ,     9
11/06/2020 ,     9 ,     1
12/06/2020 ,     7 ,     0
13/06/2020 ,    10 ,     4
14/06/2020 ,    15 ,     7
15/06/2020 ,    11 ,     0
16/06/2020 ,     4 ,     0
17/06/2020 ,    11 ,     8
18/06/2020 ,     7 ,     0
19/06/2020 ,     8 ,     2
20/06/2020 ,     8 ,     0
21/06/2020 ,     7 ,     0
22/06/2020 ,     7 ,     0
23/06/2020 ,     0 ,     0
24/06/2020 ,     0 ,     0
25/06/2020 ,     0 ,     0
26/06/2020 ,     0 ,     0
27/06/2020 ,     0 ,     0
28/06/2020 ,     0 ,     0
29/06/2020 ,     0 ,     0
30/06/2020 ,     0 ,     0
01/07/2020 ,     0 ,     0
02/07/2020 ,     0 ,     0
03/07/2020 ,     0 ,     0
04/07/2020 ,     6 ,     9
05/07/2020 ,     0 ,     0
06/07/2020 ,     0 ,     0
07/07/2020 ,     0 ,     0
08/07/2020 ,     0 ,     0
10/07/2020 ,     0 ,     0
11/07/2020 ,     0 ,     0
12/07/2020 ,     0 ,     0
13/07/2020 ,     0 ,     0
14/07/2020 ,     0 ,     0
15/07/2020 ,     0 ,     0
16/07/2020 ,     0 ,     0
17/07/2020 ,     0 ,     0
18/07/2020 ,     0 ,     0
19/07/2020 ,     0 ,     0
20/07/2020 ,     0 ,     0
21/07/2020 ,     0 ,     0
22/07/2020 ,     0 ,     0
23/07/2020 ,     0 ,     0
24/07/2020 ,     0 ,     0
25/07/2020 ,     0 ,     0
26/07/2020 ,     0 ,     0
27/07/2020 ,     0 ,     0
28/07/2020 ,     0 ,     0
29/07/2020 ,     0 ,     0
30/07/2020 ,     0 ,     0
31/07/2020 ,     0 ,     0
01/08/2020 ,     0 ,     0
02/08/2020 ,     0 ,     0
03/08/2020 ,     0 ,     0
04/08/2020 ,     0 ,     0
05/08/2020 ,     0 ,     0
06/08/2020 ,     0 ,     0
07/08/2020 ,     0 ,     0
08/08/2020 ,     0 ,     0
09/08/2020 ,     0 ,     0
10/08/2020 ,     0 ,     0
11/08/2020 ,     0 ,     0
12/08/2020 ,     0 ,     0
13/08/2020 ,     0 ,     0
14/08/2020 ,     0 ,     0
15/08/2020 ,     0 ,     0
16/08/2020 ,     0 ,     0
17/08/2020 ,     0 ,     0
18/08/2020 ,     0 ,     0
19/08/2020 ,     0 ,     0
20/08/2020 ,     0 ,     0
21/08/2020 ,     0 ,     0
22/08/2020 ,     0 ,     0
23/08/2020 ,     0 ,     0
24/08/2020 ,     0 ,     0
25/08/2020 ,     0 ,     0
26/08/2020 ,     0 ,     0
27/08/2020 ,     0 ,     0
28/08/2020 ,     0 ,     0
29/08/2020 ,     0 ,     0
30/08/2020 ,    12 ,    12
31/08/2020 ,     7 ,     5
01/09/2020 ,     6 ,     0
02/09/2020 ,     5 ,     0
03/09/2020 ,     0 ,     0
04/09/2020 ,     0 ,     0
05/09/2020 ,     0 ,     0
06/09/2020 ,     0 ,     0
07/09/2020 ,     0 ,     0
09/09/2020 ,     0 ,     0
10/09/2020 ,     0 ,     0
11/09/2020 ,     0 ,     0
12/09/2020 ,     0 ,     0
13/09/2020 ,     0 ,     0
14/09/2020 ,     0 ,     0
15/09/2020 ,     0 ,     0
16/09/2020 ,     0 ,     0
17/09/2020 ,     0 ,     0
18/09/2020 ,     0 ,     0
19/09/2020 ,     0 ,     0
20/09/2020 ,     0 ,     0
21/09/2020 ,     0 ,     0
22/09/2020 ,     0 ,     0
23/09/2020 ,     0 ,     0
24/09/2020 ,     0 ,     0
25/09/2020 ,    15 ,    15
26/09/2020 ,    11 ,     4
27/09/2020 ,     7 ,     0
28/09/2020 ,    13 ,     6
29/09/2020 ,     4 ,     0
30/09/2020 ,     3 ,     0
01/10/2020 ,     3 ,     0
02/10/2020 ,     3 ,     0
03/10/2020 ,    15 ,    13
04/10/2020 ,    10 ,     3
05/10/2020 ,    13 ,     4
06/10/2020 ,    11 ,     1
07/10/2020 ,    21 ,    11
08/10/2020 ,    16 ,     0
09/10/2020 ,    10 ,     0
10/10/2020 ,    10 ,     0
11/10/2020 ,     9 ,     5
12/10/2020 ,     9 ,     5
13/10/2020 ,     9 ,     0
14/10/2020 ,     9 ,     0
15/10/2020 ,    19 ,    10
16/10/2020 ,    23 ,     5
17/10/2020 ,    22 ,     0
18/10/2020 ,    19 ,     0
19/10/2020 ,    13 ,     0
20/10/2020 ,    13 ,     0
21/10/2020 ,     9 ,     0
22/10/2020 ,     9 ,     0
23/10/2020 ,     8 ,     1
24/10/2020 ,    19 ,    11
25/10/2020 ,    13 ,     0
26/10/2020 ,    20 ,     7
27/10/2020 ,    27 ,    17
28/10/2020 ,    19 ,     0
29/10/2020 ,    15 ,     0
30/10/2020 ,    13 ,     0
31/10/2020 ,    12 ,     0
01/11/2020 ,    10 ,     0
02/11/2020 ,    10 ,     0
03/11/2020 ,     8 ,     0
04/11/2020 ,     7 ,     0
05/11/2020 ,     7 ,     0
06/11/2020 ,     7 ,     0
07/11/2020 ,     7 ,     0
08/11/2020 ,     8 ,     2
09/11/2020 ,     8 ,     1
10/11/2020 ,     7 ,     0
11/11/2020 ,     7 ,     0
12/11/2020 ,     7 ,     0
13/11/2020 ,     7 ,     0
14/11/2020 ,     7 ,     0
15/11/2020 ,     7 ,     0
16/11/2020 ,    14 ,     8
17/11/2020 ,    10 ,     0
18/11/2020 ,     7 ,     0
19/11/2020 ,     6 ,     0
20/11/2020 ,     6 ,     0
21/11/2020 ,     6 ,     0
22/11/2020 ,     5 ,     0
23/11/2020 ,     5 ,     0
24/11/2020 ,     5 ,     0
25/11/2020 ,     5 ,     0
26/11/2020 ,     5 ,     0
27/11/2020 ,     5 ,     0
28/11/2020 ,     9 ,     8
29/11/2020 ,    18 ,     9
30/11/2020 ,    12 ,     0
01/12/2020 ,    12 ,     0
02/12/2020 ,    48 ,    40
03/12/2020 ,    41 ,     2
04/12/2020 ,    45 ,    10
05/12/2020 ,    72 ,    31
06/12/2020 ,    68 ,     0
07/12/2020 ,    56 ,     0
08/12/2020 ,    46 ,     2
09/12/2020 ,    48 ,     4
10/12/2020 ,    42 ,     0
11/12/2020 ,    40 ,     0
12/12/2020 ,    42 ,     3
13/12/2020 ,    39 ,     1
14/12/2020 ,    35 ,     0
15/12/2020 ,    38 ,     3
16/12/2020 ,    51 ,    16
17/12/2020 ,    49 ,     0
18/12/2020 ,    46 ,     0
19/12/2020 ,    45 ,     0
20/12/2020 ,    44 ,     0
21/12/2020 ,    47 ,     6
22/12/2020 ,    42 ,     0
23/12/2020 ,    42 ,     0
24/12/2020 ,    42 ,     0
25/12/2020 ,    42 ,     2
26/12/2020 ,    47 ,     5
27/12/2020 ,    42 ,     0
28/12/2020 ,    56 ,    14
29/12/2020 ,    68 ,    12
30/12/2020 ,    61 ,     0
31/12/2020 ,    59 ,     0
01/01/2021 ,    63 ,     4
02/01/2021 ,    71 ,     8
03/01/2021 ,    91 ,    20
04/01/2021 ,    93 ,     5
05/01/2021 ,    99 ,     6
06/01/2021 ,    97 ,     3
07/01/2021 ,    88 ,     0
08/01/2021 ,    85 ,     0
09/01/2021 ,    82 ,     0
10/01/2021 ,    80 ,     0
11/01/2021 ,    75 ,     0
12/01/2021 ,    72 ,     0
13/01/2021 ,    46 ,     0
14/01/2021 ,    10 ,     0
15/01/2021 ,    13 ,     4
16/01/2021 ,    10 ,     0
17/01/2021 ,    14 ,     5
18/01/2021 ,    14 ,     0
19/01/2021 ,    13 ,     0
20/01/2021 ,    13 ,     0
21/01/2021 ,    19 ,     6
22/01/2021 ,    14 ,     0
23/01/2021 ,    43 ,    39
24/01/2021 ,    33 ,     0
25/01/2021 ,    38 ,     5
26/01/2021 ,    30 ,     0
27/01/2021 ,    26 ,     0
28/01/2021 ,    29 ,     4
29/01/2021 ,    29 ,    14
30/01/2021 ,    31 ,     7
31/01/2021 ,    29 ,    10
01/02/2021 ,    31 ,     5
02/02/2021 ,    31 ,     0
03/02/2021 ,    29 ,     0
04/02/2021 ,    24 ,     0
05/02/2021 ,    23 ,     0
06/02/2021 ,    26 ,     3
07/02/2021 ,    40 ,    14
08/02/2021 ,    40 ,     5
09/02/2021 ,    25 ,     0
10/02/2021 ,    37 ,    12
11/02/2021 ,    34 ,     2
12/02/2021 ,    29 ,     0
13/02/2021 ,    28 ,     1
14/02/2021 ,    25 ,     2
15/02/2021 ,    25 ,     0
16/02/2021 ,    25 ,     0
17/02/2021 ,    25 ,     0
18/02/2021 ,    24 ,     0
19/02/2021 ,    24 ,     0
20/02/2021 ,    24 ,     0
21/02/2021 ,    21 ,     0
22/02/2021 ,    21 ,     0
23/02/2021 ,    21 ,     0
24/02/2021 ,    21 ,     0
25/02/2021 ,    21 ,     0
26/02/2021 ,    19 ,     0
27/02/2021 ,    18 ,     0
28/02/2021 ,    25 ,     8
01/03/2021 ,    25 ,     0
02/03/2021 ,    23 ,     0
03/03/2021 ,    22 ,     0
04/03/2021 ,    22 ,     0
05/03/2021 ,    22 ,     0
06/03/2021 ,    21 ,     0
07/03/2021 ,    22 ,     4
08/03/2021 ,    22 ,     2
09/03/2021 ,    27 ,     9
10/03/2021 ,    27 ,     0
11/03/2021 ,    23 ,     0
12/03/2021 ,    25 ,     5
13/03/2021 ,    22 ,     0
14/03/2021 ,    30 ,     1
15/03/2021 ,    22 ,     0
16/03/2021 ,    25 ,     3
17/03/2021 ,    23 ,     0
18/03/2021 ,    24 ,     2
19/03/2021 ,    58 ,    34
20/03/2021 ,    47 ,     4
21/03/2021 ,    32 ,     0
22/03/2021 ,    28 ,     0
23/03/2021 ,    27 ,     0
24/03/2021 ,    26 ,     0
25/03/2021 ,    24 ,     0
26/03/2021 ,    24 ,     0
27/03/2021 ,    27 ,     3
28/03/2021 ,    26 ,     0
29/03/2021 ,    25 ,     0
30/03/2021 ,    23 ,     0
31/03/2021 ,    22 ,     0
01/04/2021 ,    11 ,     0
02/04/2021 ,     8 ,     0
03/04/2021 ,     7 ,     0
04/04/2021 ,    17 ,    10
05/04/2021 ,     9 ,     0
06/04/2021 ,     4 ,     0
07/04/2021 ,     7 ,     6
08/04/2021 ,    10 ,     3
09/04/2021 ,     8 ,     0
10/04/2021 ,     9 ,     2
11/04/2021 ,    27 ,    18
12/04/2021 ,    34 ,    13
13/04/2021 ,    25 ,     0
14/04/2021 ,    23 ,     0
15/04/2021 ,    28 ,     9
16/04/2021 ,    43 ,    15
17/04/2021 ,    51 ,    10
18/04/2021 ,    38 ,     0
19/04/2021 ,    54 ,    16
20/04/2021 ,    35 ,     0
21/04/2021 ,    52 ,    17
22/04/2021 ,    47 ,     0
23/04/2021 ,    41 ,     0
24/04/2021 ,    36 ,     0
25/04/2021 ,    32 ,     0
26/04/2021 ,    28 ,     0
27/04/2021 ,    34 ,     6
28/04/2021 ,    34 ,     3
29/04/2021 ,    42 ,     3
30/04/2021 ,    47 ,     6
01/05/2021 ,    44 ,     0
02/05/2021 ,    49 ,    14
03/05/2021 ,    48 ,     0
04/05/2021 ,    43 ,     0
05/05/2021 ,    42 ,     0
06/05/2021 ,    41 ,     1
07/05/2021 ,    41 ,     1
08/05/2021 ,    40 ,     0
09/05/2021 ,    35 ,     0
10/05/2021 ,    37 ,     2
11/05/2021 ,    69 ,    33
12/05/2021 ,    64 ,     0
13/05/2021 ,    57 ,     0
14/05/2021 ,    53 ,     0
15/05/2021 ,    53 ,     3
16/05/2021 ,    55 ,     5
17/05/2021 ,    71 ,    17
18/05/2021 ,    62 ,     0
19/05/2021 ,    60 ,     6
20/05/2021 ,    56 ,     0
21/05/2021 ,    55 ,     0
22/05/2021 ,    72 ,    17
23/05/2021 ,    58 ,     0
24/05/2021 ,    59 ,     1
25/05/2021 ,    59 ,     2
26/05/2021 ,    56 ,     0
27/05/2021 ,    51 ,     0
28/05/2021 ,    46 ,     0
29/05/2021 ,    39 ,     0
30/05/2021 ,    35 ,     0
31/05/2021 ,    46 ,    11
01/06/2021 ,    33 ,     0
02/06/2021 ,    33 ,     0
03/06/2021 ,    27 ,     0
04/06/2021 ,    24 ,     0
05/06/2021 ,    15 ,     0
06/06/2021 ,     5 ,     0
07/06/2021 ,     0 ,     0
08/06/2021 ,     0 ,     0
09/06/2021 ,     0 ,     0
10/06/2021 ,     0 ,     0
11/06/2021 ,     0 ,     0
12/06/2021 ,     0 ,     0
13/06/2021 ,     0 ,     0
14/06/2021 ,     0 ,     0
15/06/2021 ,     0 ,     0
16/06/2021 ,     0 ,     0
17/06/2021 ,     0 ,     0
18/06/2021 ,     0 ,     0
19/06/2021 ,     0 ,     0
20/06/2021 ,     0 ,     0
21/06/2021 ,     0 ,     0
22/06/2021 ,     0 ,     0
23/06/2021 ,     0 ,     0
24/06/2021 ,     0 ,     0
25/06/2021 ,     0 ,     0
26/06/2021 ,     0 ,     0
27/06/2021 ,     0 ,     0
28/06/2021 ,     0 ,     0
29/06/2021 ,     0 ,     0
30/06/2021 ,     0 ,     0
01/07/2021 ,     0 ,     0
02/07/2021 ,     0 ,     0
03/07/2021 ,     0 ,     0
04/07/2021 ,     0 ,     0
05/07/2021 ,     0 ,     0
06/07/2021 ,     0 ,     0
07/07/2021 ,     0 ,     0
08/07/2021 ,     0 ,     0
09/07/2021 ,     0 ,     0
10/07/2021 ,     0 ,     0
11/07/2021 ,     0 ,     0
12/07/2021 ,     0 ,     0
13/07/2021 ,     0 ,     0
14/07/2021 ,     0 ,     0
15/07/2021 ,     0 ,     0
16/07/2021 ,     0 ,     0
17/07/2021 ,     0 ,     0
18/07/2021 ,     0 ,     0
19/07/2021 ,     0 ,     0
20/07/2021 ,     0 ,     0
21/07/2021 ,     0 ,     0
22/07/2021 ,     0 ,     0
23/07/2021 ,     0 ,     0
24/07/2021 ,     0 ,     0
25/07/2021 ,     0 ,     0
26/07/2021 ,     0 ,     0
27/07/2021 ,     0 ,     0
28/07/2021 ,     0 ,     0
29/07/2021 ,     0 ,     0
30/07/2021 ,     0 ,     0
31/07/2021 ,     0 ,     0
01/08/2021 ,     0 ,     0
02/08/2021 ,     0 ,     0
03/08/2021 ,     0 ,     0
04/08/2021 ,     0 ,     0
05/08/2021 ,     0 ,     0
06/08/2021 ,     0 ,     0
07/08/2021 ,     0 ,     0
08/08/2021 ,     0 ,     0
09/08/2021 ,     0 ,     0
10/08/2021 ,     0 ,     0
11/08/2021 ,     0 ,     0
12/08/2021 ,     0 ,     0
13/08/2021 ,     0 ,     0
14/08/2021 ,     0 ,     0
15/08/2021 ,     0 ,     0
16/08/2021 ,     0 ,     0
17/08/2021 ,     0 ,     0
18/08/2021 ,     0 ,     0
19/08/2021 ,     0 ,     0
20/08/2021 ,     0 ,     0
21/08/2021 ,     0 ,     0
22/08/2021 ,     0 ,     0
23/08/2021 ,     0 ,     0
24/08/2021 ,     0 ,     0
25/08/2021 ,     0 ,     0
26/08/2021 ,     0 ,     0
27/08/2021 ,     0 ,     0
29/08/2021 ,     0 ,     0
30/08/2021 ,     0 ,     0
31/08/2021 ,     0 ,     0
01/09/2021 ,     0 ,     0
02/09/2021 ,     0 ,     0
03/09/2021 ,     0 ,     0
04/09/2021 ,     0 ,     0
05/09/2021 ,     0 ,     0
06/09/2021 ,     0 ,     0
07/09/2021 ,     0 ,     0
08/09/2021 ,     0 ,     0
09/09/2021 ,     0 ,     0
10/09/2021 ,     0 ,     0
11/09/2021 ,     0 ,     0
12/09/2021 ,     0 ,     0
13/09/2021 ,     0 ,     0
14/09/2021 ,     0 ,     0
15/09/2021 ,     0 ,     0
16/09/2021 ,     0 ,     0
17/09/2021 ,     0 ,     0
18/09/2021 ,     0 ,     0
19/09/2021 ,     2 ,     2
20/09/2021 ,     5 ,     5
21/09/2021 ,    17 ,    17
22/09/2021 ,     7 ,     0
23/09/2021 ,     5 ,     0
24/09/2021 ,     3 ,     0
25/09/2021 ,     0 ,     0
26/09/2021 ,     0 ,     0
27/09/2021 ,     6 ,    10
28/09/2021 ,     3 ,     0
29/09/2021 ,     0 ,     0
30/09/2021 ,     0 ,     0
01/10/2021 ,     0 ,     0
02/10/2021 ,     0 ,     0
03/10/2021 ,     0 ,     0
04/10/2021 ,     0 ,     0
05/10/2021 ,     5 ,     5
06/10/2021 ,     4 ,     4
07/10/2021 ,     4 ,     0
08/10/2021 ,     4 ,     0
09/10/2021 ,     2 ,     0
10/10/2021 ,     2 ,     0
11/10/2021 ,     0 ,     0
12/10/2021 ,     0 ,     0
13/10/2021 ,     0 ,     0
14/10/2021 ,     0 ,     0
15/10/2021 ,     0 ,     0
16/10/2021 ,     0 ,     0
17/10/2021 ,     0 ,     0
18/10/2021 ,     0 ,     0
19/10/2021 ,     0 ,     0
20/10/2021 ,     0 ,     0
21/10/2021 ,     0 ,     0
22/10/2021 ,     0 ,     0
23/10/2021 ,     0 ,     0
24/10/2021 ,     0 ,     0
25/10/2021 ,     0 ,     0
29/10/2021 ,     1 ,     1
30/10/2021 ,     7 ,     6
31/10/2021 ,    11 ,     8
01/11/2021 ,    12 ,     4
02/11/2021 ,    28 ,    17
03/11/2021 ,    26 ,     0
04/11/2021 ,    23 ,    13
05/11/2021 ,    22 ,     0
06/11/2021 ,    22 ,     0
07/11/2021 ,    22 ,     0
08/11/2021 ,    21 ,     0
09/11/2021 ,    21 ,     1
10/11/2021 ,    26 ,     5
11/11/2021 ,    48 ,    23
12/11/2021 ,    46 ,     0
13/11/2021 ,    44 ,     0
14/11/2021 ,    44 ,     0
15/11/2021 ,    83 ,    39
16/11/2021 ,   122 ,    42
17/11/2021 ,   116 ,     2
18/11/2021 ,   111 ,     1
19/11/2021 ,   106 ,     0
20/11/2021 ,   103 ,     0
21/11/2021 ,   100 ,     0
22/11/2021 ,   100 ,     1
23/11/2021 ,    98 ,     0
25/11/2021 ,    98 ,     1
26/11/2021 ,   101 ,     5
27/11/2021 ,    94 ,     0
28/11/2021 ,    91 ,     0
29/11/2021 ,    91 ,     0
Elaborato il 2021-12-06 alle ore 21:00 UTC
