medal_type,medal_code,medal_date,athlete_short_name,athlete_name,athlete_sex,athlete_link,event,country,country_code,discipline,discipline_code
Silver,2,2022-02-16 00:00:00.0,LEE J,LEE Juneseo,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036470-juneseo-lee.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,PARK J,PARK Janghyuk,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036471-janghyuk-park.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,KWAK Y,KWAK Yoongy,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036472-yoongy-kwak.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,KIM D,KIM Dongwook,M,../../../en/results/short-track-speed-skating/athlete-profile-n1036473-dongwook-kim.htm,Men's 5000m Relay,Republic of Korea,KOR,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,CONFORTOLA Y,CONFORTOLA Yuri,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034972-yuri-confortola.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,CASSINELLI A,CASSINELLI Andrea,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034971-andrea-cassinelli.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,DOTTI T,DOTTI Tommaso,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034962-tommaso-dotti.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,SIGHEL P,SIGHEL Pietro,M,../../../en/results/short-track-speed-skating/athlete-profile-n1034975-pietro-sighel.htm,Men's 5000m Relay,Italy,ITA,Short Track Speed Skating,STK
Gold,1,2022-02-16 00:00:00.0,CHOI M,CHOI Minjeong,W,../../../en/results/short-track-speed-skating/athlete-profile-n1036478-minjeong-choi.htm,Women's 1500m,Republic of Korea,KOR,Short Track Speed Skating,STK
Silver,2,2022-02-16 00:00:00.0,FONTANA A,FONTANA Arianna,W,../../../en/results/short-track-speed-skating/athlete-profile-n1034964-arianna-fontana.htm,Women's 1500m,Italy,ITA,Short Track Speed Skating,STK
Bronze,3,2022-02-16 00:00:00.0,SCHULTING S,SCHULTING Suzanne,W,../../../en/results/short-track-speed-skating/athlete-profile-n1054312-suzanne-schulting.htm,Women's 1500m,Netherlands,NED,Short Track Speed Skating,STK
